Calculation1,School,City,County/State/ Territory,Count,All,Female,Male,Unknown
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,85,84,,
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,50,50,,
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,24,24,,
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,20,9,11,
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Adm,13,7,6,
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Enr,7,3,4,
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,App,33,19,14,
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,Adm,15,8,7,
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,Enr,8,3,5,
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,14,9,,
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,9,6,3,
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,7,5,,
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Adm,7,5,,
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Enr,3,,,
AMBASSADOR HIGH SCHOOL54687,AMBASSADOR HIGH SCHOOL,Torrance,Los Angeles,App,8,,,
