Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,77,77,
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,49,49,
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,21,21,
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,16,9,7
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Adm,13,8,5
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Enr,9,6,3
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,App,23,18,5
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,Adm,17,13,4
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,Enr,9,6,3
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,15,8,7
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,14,8,6
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Enr,8,4,4
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,6,,
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Adm,6,3,3
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Enr,3,,
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,21,21,
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Adm,16,16,
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Enr,5,5,
ANACAPA SCHOOL53244,ANACAPA SCHOOL,Santa Barbara,Santa Barbara,Adm,3,3,
APPLE VALLEY CHRISTIAN ACADEMY50122,APPLE VALLEY CHRISTIAN ACADEMY,Apple Valley,San Bernardino,App,5,,
APPLE VALLEY CHRISTIAN ACADEMY50122,APPLE VALLEY CHRISTIAN ACADEMY,Apple Valley,San Bernardino,Adm,4,,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,41,19,22
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,22,14,8
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,12,7,5
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,235,118,116
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,167,77,90
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,66,33,33
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,70,,70
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,47,,47
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,27,,27
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,20,20,
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,14,14,
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,5,,
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Adm,3,,
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,27,,27
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Adm,19,,19
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Enr,10,,10
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,26,12,13
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Adm,18,7,10
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Enr,9,4,5
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,App,19,12,7
