Calculation1,School,City,County/State/ Territory,Count,All,Female,Male
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,App,102,102,
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Adm,63,63,
ACADEMY OUR LADY OF PEACE52820,ACADEMY OUR LADY OF PEACE,San Diego,San Diego,Enr,29,29,
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,App,19,10,9
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Adm,10,7,3
AGBU MANOOGIAN-DEMIRDJIAN SCH50462,AGBU MANOOGIAN-DEMIRDJIAN SCH,Canoga Park,Los Angeles,Enr,7,4,3
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,App,15,10,5
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,Adm,6,3,3
AGBU VATCHE AND TAMAR MANOUKIAN HS54246,AGBU VATCHE AND TAMAR MANOUKIAN HS,Pasadena,Los Angeles,Enr,5,,3
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,App,17,10,7
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Adm,15,8,7
AL ARQAM COLL PREPARATORY SCH54175,AL ARQAM COLL PREPARATORY SCH,Sacramento,Sacramento,Enr,8,5,3
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,App,11,6,5
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Adm,11,6,5
ALSION MONTESSORI MIDDLE/HIGH53989,ALSION MONTESSORI MIDDLE/HIGH,Fremont,Alameda,Enr,10,5,5
ALTO INTERNATIONAL SCHOOL59628,ALTO INTERNATIONAL SCHOOL,Menlo Park,San Mateo,Adm,3,,
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,App,13,13,
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Adm,8,8,
ALVERNO HIGH SCHOOL53378,ALVERNO HIGH SCHOOL,Sierra Madre,Los Angeles,Enr,5,5,
AMERICAN UNIVERSITY PREP SCHL54820,AMERICAN UNIVERSITY PREP SCHL,Los Angeles,Los Angeles,Adm,3,,3
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,App,5,,5
ANAHEIM DISC CHRISTIAN J/S HS50146,ANAHEIM DISC CHRISTIAN J/S HS,Anaheim,Orange,Adm,3,,3
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,App,37,19,18
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Adm,18,9,9
AQUINAS HIGH SCHOOL52772,AQUINAS HIGH SCHOOL,San Bernardino,San Bernardino,Enr,7,4,3
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,App,270,135,132
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Adm,177,89,87
ARCHBISHOP MITTY HIGH SCHOOL53078,ARCHBISHOP MITTY HIGH SCHOOL,San Jose,Santa Clara,Enr,67,34,33
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,App,50,,50
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Adm,36,,36
ARCHBISHOP RIORDAN HIGH SCHOOL53000,ARCHBISHOP RIORDAN HIGH SCHOOL,San Francisco,San Francisco,Enr,14,,14
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,App,35,35,
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Adm,23,23,
ARCHER SCHOOL FOR GIRLS52339,ARCHER SCHOOL FOR GIRLS,Los Angeles,Los Angeles,Enr,8,8,
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,App,6,5,
ARMENIAN MESROBIAN HIGH SCHOOL52653,ARMENIAN MESROBIAN HIGH SCHOOL,Pico Rivera,Los Angeles,Adm,3,3,
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,App,32,,32
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Adm,24,,24
ARMY AND NAVY ACADEMY50470,ARMY AND NAVY ACADEMY,Carlsbad,San Diego,Enr,8,,8
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,App,23,14,9
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Adm,20,12,8
ARROWHEAD CHRISTIAN ACADEMY52774,ARROWHEAD CHRISTIAN ACADEMY,Redlands,San Bernardino,Enr,11,7,4
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,App,9,,5
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,Adm,8,4,4
ARROYO PACIFIC ACADEMY50144,ARROYO PACIFIC ACADEMY,Arcadia,Los Angeles,Enr,7,3,4
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,App,38,21,16
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Adm,25,16,8
ATHENIAN SCHOOL50724,ATHENIAN SCHOOL,Danville,Contra Costa,Enr,6,5,
AVERROES HIGH SCHOOL54727,AVERROES HIGH SCHOOL,Fremont,Alameda,App,6,,5
AVERROES HIGH SCHOOL54727,AVERROES HIGH SCHOOL,Fremont,Alameda,Adm,3,,3
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,App,24,9,15
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Adm,17,6,11
BAKERSFIELD CHRISTIAN HS50208,BAKERSFIELD CHRISTIAN HS,Bakersfield,Kern,Enr,4,,3
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,App,79,45,34
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Adm,73,42,31
BASIS INDEPENDENT SILICON VLY54776,BASIS INDEPENDENT SILICON VLY,San Jose,Santa Clara,Enr,26,13,13
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,App,45,19,26
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Adm,29,15,14
BAY SCHOOL OF SAN FRANCISCO53985,BAY SCHOOL OF SAN FRANCISCO,San Francisco,San Francisco,Enr,15,6,9
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,App,208,,204
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,Adm,140,,138
BELLARMINE COLLEGE PREPARATORY53080,BELLARMINE COLLEGE PREPARATORY,San Jose,Santa Clara,Enr,39,,38
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,App,56,24,32
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,Adm,45,19,26
BENTLEY SCHOOL51300,BENTLEY SCHOOL,Lafayette,Contra Costa,Enr,15,6,9
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,App,22,8,14
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Adm,12,5,7
BEREAN CHRISTIAN HIGH SCHOOL53683,BEREAN CHRISTIAN HIGH SCHOOL,Walnut Creek,Contra Costa,Enr,5,,4
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,App,9,,7
BESANT HILL SCHOOL HAPPY VLY52255,BESANT HILL SCHOOL HAPPY VLY,Ojai,Ventura,Adm,7,,5
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,App,6,,
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,Adm,4,,3
BETHEL BAPTIST SCHOOL53239,BETHEL BAPTIST SCHOOL,Santa Ana,Orange,Enr,3,,
BETHEL CHRISTIAN HIGH SCHOOL52668,BETHEL CHRISTIAN HIGH SCHOOL,Riverside,Riverside,App,5,,
BIG VALLEY CHRISTIAN HS52021,BIG VALLEY CHRISTIAN HS,Modesto,Stanislaus,App,5,,
BIG VALLEY CHRISTIAN HS52021,BIG VALLEY CHRISTIAN HS,Modesto,Stanislaus,Adm,5,,4
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,App,99,48,51
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Adm,59,29,30
BISHOP ALEMANY HIGH SCHOOL52898,BISHOP ALEMANY HIGH SCHOOL,Mission Hills,Los Angeles,Enr,21,9,12
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,App,93,57,36
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Adm,58,40,18
BISHOP AMAT MEMORIAL HS51362,BISHOP AMAT MEMORIAL HS,La Puente,Los Angeles,Enr,24,17,7
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,App,24,24,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Adm,14,14,
BISHOP CONATY OUR LADY LORETTO51552,BISHOP CONATY OUR LADY LORETTO,Los Angeles,Los Angeles,Enr,6,6,
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,App,27,12,15
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,Adm,15,9,6
BISHOP GARCIA DIEGO HIGH SCH53245,BISHOP GARCIA DIEGO HIGH SCH,Santa Barbara,Santa Barbara,Enr,7,5,
BISHOP MONTGOMERY HIGH SCHOOL53512,BISHOP MONTGOMERY HIGH SCHOOL,Torrance,Los Angeles,App,115,60,55
